code,label,offset,speed,absolute_warming
AS,Samoa Américaines,1912458.7120095182,0.15351740696278512,0.7872549019607844
CK,Îles Cook,2992348.676552907,0.17162064825930373,0.7119607843137254
FJ,Fidji,3468129.833759021,0.1959663865546219,0.8276470588235294
FM,États Fédérés De Micronésie,1085205.9211451642,0.20897959183673465,0.8415686274509804
GU,Guam,-50477.77891460736,0.19390156062424968,0.8368627450980393
KI,Kiribati,-2105935.867547888,0.07178871548619446,0.656078431372549
MH,Îles Marshall,-1238321.4560885094,0.1321008403361345,0.8045098039215687
MP,Îles Mariannes Du Nord,-478437.96290510776,0.1891956782713085,0.8274509803921568
NC,Nouvelle-Calédonie,3158457.8585787406,0.16864345738295317,0.8513725490196079
NR,Nauru,-441437.9789482702,0.12403361344537817,0.6635294117647058
NU,Niue,3547620.6541643697,0.19212484993997597,0.7180392156862744
PF,Polynésie Française,1409959.0046086996,0.12187274909963984,0.8201960784313724
PG,Papouasie-Nouvelle-Guinée,2348477.6540901815,0.20033613445378157,0.9866666666666666
PN,Pitcairn,2068187.302723452,0.11615846338535415,0.4919607843137255
PW,Palaos,1063224.9479141105,0.2094597839135655,0.8060784313725491
SB,Îles Salomon,2945464.7012400227,0.2121008403361345,0.9358823529411766
TK,Tokelau,204353.62018060114,0.11318127250900359,0.7894117647058825
TO,Tonga,4002966.49794586,0.20494597839135656,0.7437254901960784
TV,Tuvalu,893488.068340314,0.14007202881152456,0.7500000000000001
VU,Vanuatu,3119270.165877262,0.18852340936374556,0.9139215686274511
WF,Wallis Et Futuna,2200866.448579341,0.16571428571428573,0.7776470588235295
WS,Samoa,1857795.1702611684,0.15351740696278512,0.7872549019607844
